随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2020-11-06 15:42:17,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-06 08:06:25,食品酒水,早餐,,港币,HKD,31.00,,,,
支出,2020-11-05 14:20:34,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-05 14:20:30,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-05 08:44:32,食品酒水,早餐,,港币,HKD,26.00,,,,
支出,2020-11-04 16:16:55,食品酒水,中餐,,港币,HKD,28.00,,,,
支出,2020-11-04 14:20:44,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-11-04 14:20:38,食品酒水,早餐,,港币,HKD,10.00,默认,,,
支出,2020-11-03 16:17:32,居家生活,快递费,,人民币,CNY,61.00,,,,
支出,2020-11-03 16:17:01,购物消费,超市购物,,人民币,CNY,397.00,,,,
支出,2020-11-03 09:04:22,食品酒水,早餐,,港币,HKD,28.00,,,,
支出,2020-11-02 17:18:07,食品酒水,饮料酒水,,港币,HKD,72.00,,,包含一包烟,
支出,2020-11-02 17:17:25,行车交通,过路费,,港币,HKD,30.00,,,,
支出,2020-11-02 17:17:17,行车交通,停车,,港币,HKD,56.00,,,,
支出,2020-11-02 17:16:42,行车交通,加油,,港币,HKD,300.00,,,,
支出,2020-11-02 17:15:30,食品酒水,中餐,,港币,HKD,25.00,,,包含早饭,
支出,2020-11-02 13:50:42,购物消费,家具家电,,人民币,CNY,211.00,,,,
支出,2020-11-02 13:25:20,购物消费,日常用品,,人民币,CNY,76.00,,,,
支出,2020-11-02 13:24:46,居家生活,快递费,,港币,HKD,53.00,,,,
支出,2020-11-02 13:21:29,购物消费,宠物支出,,人民币,CNY,156.00,,,,
支出,2020-11-02 13:20:15,购物消费,日常用品,,人民币,CNY,305.00,,,,
支出,2020-11-01 17:23:05,食品酒水,中餐,,港币,HKD,160.00,,,,
支出,2020-11-01 17:22:20,休闲娱乐,运动,,港币,HKD,580.00,,,看大佛，缆车,
支出,2020-11-01 11:39:13,购物消费,汽车用品,,人民币,CNY,125.00,,,,
支出,2020-11-01 10:38:52,购物消费,清洁用品,,人民币,CNY,275.00,,,,
支出,2020-11-01 08:32:51,购物消费,宠物支出,,人民币,CNY,553.00,,,,
支出,2020-11-01 08:32:23,购物消费,家具家电,,人民币,CNY,141.00,,,,
支出,2020-11-01 00:54:34,购物消费,衣裤鞋帽,,人民币,CNY,1250.00,,,,
支出,2020-11-01 00:54:16,食品酒水,饮料酒水,,人民币,CNY,492.00,,,,
支出,2020-11-01 00:53:45,食品酒水,柴米油盐,,人民币,CNY,560.00,,,,
支出,2020-10-31 22:32:22,食品酒水,饮料酒水,,港币,HKD,6.50,,,,
支出,2020-10-31 22:31:58,食品酒水,晚餐,,港币,HKD,219.00,,,,
支出,2020-10-31 22:31:49,行车交通,公共交通,,港币,HKD,62.00,,,,
支出,2020-10-31 16:18:11,购物消费,美妆护肤,,港币,HKD,800.00,,,理发,
支出,2020-10-31 13:41:53,食品酒水,中餐,,港币,HKD,179.00,,,,
支出,2020-10-30 17:12:29,食品酒水,饮料酒水,,港币,HKD,20.00,,,,
支出,2020-10-30 17:12:06,食品酒水,饮料酒水,,港币,HKD,60.00,,,烟,
支出,2020-10-30 17:12:02,食品酒水,早餐,,港币,HKD,15.00,,,,
支出,2020-10-30 12:45:27,食品酒水,中餐,,港币,HKD,20.00,,,,
支出,2020-10-30 08:40:50,食品酒水,早餐,,港币,HKD,28.50,,,,
支出,2020-10-29 22:44:29,食品酒水,买菜,,人民币,CNY,296.00,,,,
支出,2020-10-29 13:11:32,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-29 10:00:41,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-28 14:31:58,食品酒水,饮料酒水,,港币,HKD,15.00,,,咖啡,
支出,2020-10-28 14:31:51,食品酒水,中餐,,港币,HKD,15.00,,,,
收入,2020-10-28 13:17:22,职业收入,工资收入,,港币,HKD,63000.00,,,,
收入,2020-10-28 09:26:40,职业收入,工资收入,,港币,HKD,24000.00,,,,
支出,2020-10-27 23:58:59,行车交通,停车,,港币,HKD,15.00,,,,
支出,2020-10-27 23:58:52,食品酒水,晚餐,,港币,HKD,380.00,,,,
支出,2020-10-27 19:19:57,行车交通,加油,,港币,HKD,500.00,,,,
支出,2020-10-27 19:19:36,食品酒水,外出美食,,港币,HKD,100.00,,,古枣蛋糕,
支出,2020-10-27 11:24:35,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-27 09:24:41,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-26 11:41:30,食品酒水,水果牛奶,,港币,HKD,20.00,,,,
支出,2020-10-26 11:41:12,食品酒水,饮料酒水,,港币,HKD,45.00,,,,
支出,2020-10-26 11:41:03,食品酒水,中餐,,港币,HKD,62.00,,,,
支出,2020-10-26 11:23:45,食品酒水,中餐,,港币,HKD,31.00,,,,
支出,2020-10-25 12:16:50,食品酒水,中餐,,港币,HKD,30.00,,,,
支出,2020-10-25 11:48:59,购物消费,衣裤鞋帽,,人民币,CNY,57.00,,,,
支出,2020-10-25 09:02:26,休闲娱乐,运动,,港币,HKD,231.00,,,,
支出,2020-10-24 12:25:14,食品酒水,中餐,,港币,HKD,132.00,,,,
支出,2020-10-24 12:07:35,购物消费,宠物支出,,人民币,CNY,192.36,,,,
支出,2020-10-23 19:13:59,购物消费,宠物支出,,人民币,CNY,6700.00,,,,
支出,2020-10-23 19:13:49,食品酒水,饮料酒水,,港币,HKD,45.00,,,,
支出,2020-10-23 19:13:42,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-23 19:13:35,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-22 12:36:39,食品酒水,中餐,,港币,HKD,40.00,,,,
支出,2020-10-22 07:52:18,食品酒水,晚餐,,港币,HKD,15.00,,,,
支出,2020-10-22 07:52:10,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-22 07:52:05,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-21 15:04:38,食品酒水,中餐,,港币,HKD,24.00,,,,
支出,2020-10-21 10:01:51,食品酒水,柴米油盐,,人民币,CNY,260.00,,,,
支出,2020-10-21 07:51:55,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-21 07:51:39,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-20 15:25:04,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-20 15:24:57,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-20 00:47:39,购物消费,衣裤鞋帽,,人民币,CNY,108.00,老公,,,
支出,2020-10-20 00:47:31,食品酒水,买菜,,人民币,CNY,170.10,,,,
支出,2020-10-20 00:43:54,食品酒水,买菜,,人民币,CNY,189.90,,,,
支出,2020-10-19 14:39:26,食品酒水,中餐,,港币,HKD,30.00,,,,
支出,2020-10-19 14:24:59,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-19 10:42:30,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-19 09:11:50,食品酒水,早餐,,港币,HKD,28.00,,,,
支出,2020-10-19 00:22:16,行车交通,加油,,港币,HKD,300.00,,,,
支出,2020-10-18 20:01:38,食品酒水,晚餐,,港币,HKD,150.00,,,,
支出,2020-10-18 20:01:30,食品酒水,水果牛奶,,港币,HKD,18.00,,,,
支出,2020-10-17 14:22:35,购物消费,珠宝首饰,,港币,HKD,45600.00,老婆,,手表,
支出,2020-10-17 14:22:28,食品酒水,饮料酒水,,港币,HKD,40.00,,,,
支出,2020-10-17 14:22:21,食品酒水,中餐,,港币,HKD,155.00,,,,
支出,2020-10-17 14:22:18,行车交通,公共交通,,港币,HKD,15.00,,,,
支出,2020-10-17 12:24:44,行车交通,地铁,,港币,HKD,7.00,,,轮渡,
支出,2020-10-17 09:43:21,行车交通,地铁,,港币,HKD,22.00,,,,
支出,2020-10-17 08:59:07,行车交通,公共交通,,港币,HKD,11.00,,,,
支出,2020-10-16 17:55:11,食品酒水,中餐,,人民币,CNY,55.00,,,,
支出,2020-10-16 15:14:00,食品酒水,中餐,,港币,HKD,30.00,,,,
支出,2020-10-16 12:13:34,食品酒水,中餐,,港币,HKD,18.90,,,,
支出,2020-10-16 09:55:33,食品酒水,饮料酒水,,港币,HKD,6.50,默认,,,
支出,2020-10-16 09:55:24,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-15 20:26:44,食品酒水,饮料酒水,,港币,HKD,40.00,,,奶茶,
支出,2020-10-15 20:26:36,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-15 20:02:32,食品酒水,买菜,,港币,HKD,50.80,,,,
支出,2020-10-15 10:51:21,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-14 20:03:13,行车交通,地铁,,港币,HKD,15.00,,,,
支出,2020-10-14 19:51:37,食品酒水,外出美食,,港币,HKD,435.00,,,,
支出,2020-10-14 12:42:48,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-14 12:42:42,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-14 09:11:01,食品酒水,早餐,,港币,HKD,31.00,,,,
支出,2020-10-12 20:01:31,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-12 20:01:26,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-12 20:00:56,食品酒水,水果牛奶,,港币,HKD,18.00,,,,
支出,2020-10-12 14:54:25,食品酒水,早餐,,港币,HKD,30.50,,,,
支出,2020-10-12 14:54:11,食品酒水,中餐,,港币,HKD,32.00,,,,
支出,2020-10-11 19:37:37,食品酒水,买菜,,人民币,CNY,185.90,,,,
支出,2020-10-11 15:42:25,食品酒水,柴米油盐,,人民币,CNY,244.66,,,,
支出,2020-10-10 22:27:16,购物消费,电子数码,,港币,HKD,3150.00,默认,,,
支出,2020-10-10 22:27:07,行车交通,保养,,港币,HKD,3000.00,,,,
支出,2020-10-10 22:26:55,食品酒水,外出美食,,港币,HKD,28.00,,,蛋挞,
支出,2020-10-10 12:39:46,食品酒水,饮料酒水,,港币,HKD,22.00,,,冰淇淋,
支出,2020-10-10 12:39:38,食品酒水,中餐,,港币,HKD,72.00,,,,
支出,2020-10-09 21:51:03,食品酒水,买菜,,港币,HKD,14.80,,,,
支出,2020-10-09 12:10:36,食品酒水,中餐,,港币,HKD,30.00,,,,
支出,2020-10-09 09:55:22,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-10-09 09:55:14,食品酒水,晚餐,,港币,HKD,15.00,,,,
支出,2020-10-09 09:55:06,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-09 09:54:57,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-09 08:33:48,食品酒水,饮料酒水,,港币,HKD,15.00,,,,
支出,2020-10-08 15:35:07,食品酒水,饮料酒水,,港币,HKD,14.00,,,,
支出,2020-10-08 15:34:55,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-08 14:16:17,食品酒水,中餐,,港币,HKD,34.00,,,,
支出,2020-10-08 09:56:09,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-08 09:28:21,食品酒水,早餐,,港币,HKD,20.40,,,,
支出,2020-10-07 19:50:21,居家生活,电费,,港币,HKD,2000.00,,,,
支出,2020-10-07 13:06:07,食品酒水,晚餐,,港币,HKD,15.00,,,,
支出,2020-10-07 13:06:00,食品酒水,中餐,,港币,HKD,15.00,,,,
支出,2020-10-07 12:44:51,食品酒水,中餐,,港币,HKD,19.40,,,,
支出,2020-10-07 11:52:06,行车交通,违章罚款,,港币,HKD,320.00,,,,
支出,2020-10-07 11:51:59,食品酒水,早餐,,港币,HKD,10.00,,,,
支出,2020-10-07 11:50:22,居家生活,快递费,,港币,HKD,47.00,,,,
支出,2020-10-06 20:52:29,行车交通,加油,,港币,HKD,500.00,,,,
支出,2020-10-06 20:52:15,食品酒水,饮料酒水,,港币,HKD,30.00,,,,
支出,2020-10-06 20:35:41,食品酒水,早餐,,港币,HKD,28.00,,,,
支出,2020-10-06 20:35:36,食品酒水,中餐,,港币,HKD,35.00,,,,
支出,2020-10-06 20:35:18,行车交通,公共交通,,港币,HKD,6.10,,,,
支出,2020-10-06 11:58:21,行车交通,牌费,,港币,HKD,5490.00,默认,,,
支出,2020-10-06 10:46:05,食品酒水,早餐,,港币,HKD,30.00,,,,
支出,2020-10-06 10:45:58,行车交通,打车,,港币,HKD,37.00,,,,
支出,2020-10-06 10:45:43,行车交通,地铁,,港币,HKD,15.60,,,,
支出,2020-10-06 07:53:51,行车交通,公共交通,,港币,HKD,7.50,,,,
支出,2020-10-05 19:23:57,行车交通,公共交通,,港币,HKD,6.10,,,,
支出,2020-10-05 13:25:48,食品酒水,中餐,,港币,HKD,15.00,默认,,,
支出,2020-10-05 12:24:36,食品酒水,买菜,,港币,HKD,122.00,,,人民币 107 加蒜 4,
支出,2020-10-05 12:24:17,食品酒水,中餐,,港币,HKD,33.00,老婆,,,
支出,2020-10-05 11:26:19,行车交通,打车,,港币,HKD,20.00,,,,
支出,2020-10-05 10:26:00,食品酒水,早餐,,港币,HKD,30.00,默认,,麦当劳,
支出,2020-10-05 10:23:30,行车交通,地铁,,港币,HKD,5.00,,,,
支出,2020-10-05 09:44:46,行车交通,地铁,,港币,HKD,7.10,,,,
支出,2020-10-05 08:17:13,行车交通,公共交通,,港币,HKD,7.50,,,,
支出,2020-10-04 23:40:55,食品酒水,饮料酒水,,港币,HKD,15.00,,,咖啡，给媳妇，熬夜,
