随手记导出文件(headers:v5; iPhone; MyMoneyPro; 12.82.0; 20210422)
交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2021-03-11 13:29:45,居家生活,燃气费,,港币,HKD,665.00,,,,
支出,2021-03-10 20:27:08,食品酒水,中餐,,港币,HKD,61.00,,,,
支出,2021-03-10 18:31:35,食品酒水,晚餐,,港币,HKD,112.00,,,,
支出,2021-03-10 15:11:54,居家生活,快递费,,人民币,CNY,33.00,,,,
支出,2021-03-10 08:28:24,食品酒水,早餐,,港币,HKD,11.50,,,,
支出,2021-03-09 22:58:52,行车交通,加油,,港币,HKD,1020.00,,,,
支出,2021-03-09 20:27:00,食品酒水,晚餐,,港币,HKD,50.50,,,,
支出,2021-03-08 23:05:01,购物消费,电子数码,,人民币,CNY,61.00,,,,
支出,2021-03-08 16:37:54,食品酒水,下午茶,,港币,HKD,29.00,,,,
支出,2021-03-08 10:15:50,购物消费,宠物支出,,人民币,CNY,320.00,,,,
支出,2021-03-07 17:34:16,食品酒水,买菜,,港币,HKD,186.00,,,,
支出,2021-03-06 22:52:31,购物消费,超市购物,,人民币,CNY,240.00,,,,
支出,2021-03-06 22:08:12,食品酒水,晚餐,,港币,HKD,151.00,,,,
支出,2021-03-06 22:07:53,购物消费,家具家电,,港币,HKD,1943.00,,,抽湿机,
支出,2021-03-06 22:07:47,食品酒水,买菜,,港币,HKD,96.00,,,,
支出,2021-03-04 22:08:00,食品酒水,晚餐,,港币,HKD,195.00,,,外卖一起,
支出,2021-03-04 14:57:27,食品酒水,饮料酒水,,港币,HKD,14.00,老公,公司食堂,,
支出,2021-03-04 12:34:17,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-03 22:08:20,食品酒水,晚餐,,港币,HKD,46.00,,,宵夜,
支出,2021-03-03 16:24:47,休闲娱乐,游戏,,人民币,CNY,45.00,,,,
支出,2021-03-03 16:24:06,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-03 16:24:02,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-03 14:15:15,食品酒水,饮料酒水,,港币,HKD,18.20,,,,
支出,2021-03-02 14:59:45,居家生活,快递费,,人民币,CNY,43.00,,,,
支出,2021-03-02 13:24:19,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-02 06:24:11,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-01 21:45:20,行车交通,过路费,,港币,HKD,8.00,,,,
支出,2021-03-01 21:45:16,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-03-01 21:45:12,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-03-01 21:45:11,购物消费,电子数码,,人民币,CNY,340.00,老公,,,
支出,2021-02-28 23:49:36,食品酒水,饮料酒水,,港币,HKD,57.00,,,烟,
支出,2021-02-28 23:49:32,食品酒水,买菜,,港币,HKD,12.00,,,,
收入,2021-02-28 21:45:29,职业收入,工资收入,,港币,HKD,24000.00,,,,
支出,2021-02-28 20:04:15,食品酒水,买菜,,港币,HKD,17.00,,,,
支出,2021-02-28 19:06:19,食品酒水,晚餐,,港币,HKD,125.00,,,,
支出,2021-02-28 15:26:55,购物消费,衣裤鞋帽,,人民币,CNY,347.00,老婆,,,
支出,2021-02-28 15:26:44,购物消费,衣裤鞋帽,,人民币,CNY,159.00,老公,,,
支出,2021-02-28 15:26:32,食品酒水,中餐,,港币,HKD,123.00,,,,
支出,2021-02-28 15:26:07,购物消费,衣裤鞋帽,,人民币,CNY,319.00,老公,,,
支出,2021-02-26 14:43:57,食品酒水,中餐,,港币,HKD,32.00,,,,
支出,2021-02-25 20:02:21,行车交通,公共交通,,港币,HKD,44.00,,,,
支出,2021-02-25 20:02:10,行车交通,停车,,港币,HKD,24.00,,,,
支出,2021-02-25 19:06:46,购物消费,超市购物,,港币,HKD,311.80,,,,
支出,2021-02-25 19:06:38,食品酒水,晚餐,,港币,HKD,112.00,,,,
支出,2021-02-25 17:42:24,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-02-25 17:42:18,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-02-25 17:42:13,行车交通,过路费,,港币,HKD,8.00,,,,
收入,2021-02-24 21:15:06,职业收入,工资收入,,港币,HKD,63000.00,,,,
支出,2021-02-24 21:14:56,食品酒水,晚餐,,港币,HKD,137.00,,,,
支出,2021-02-24 09:40:08,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-02-24 09:39:54,行车交通,过路费,,港币,HKD,8.00,,,,
支出,2021-02-24 09:39:38,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-02-23 16:46:05,购物消费,衣裤鞋帽,,人民币,CNY,395.00,,,,
支出,2021-02-23 09:39:41,食品酒水,早餐,,港币,HKD,10.00,老公,公司食堂,,
支出,2021-02-22 18:30:37,食品酒水,买菜,,港币,HKD,53.30,,,,
支出,2021-02-22 09:40:12,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
支出,2021-02-22 09:39:45,食品酒水,早餐,,港币,HKD,50.00,,,,
支出,2021-02-21 22:01:57,购物消费,包,,人民币,CNY,15800.00,,,,
支出,2021-02-21 11:43:17,食品酒水,中餐,,港币,HKD,78.00,,,,
支出,2021-02-20 22:22:16,食品酒水,中餐,,港币,HKD,135.00,,,,
支出,2021-02-20 22:22:01,行车交通,过路费,,港币,HKD,19.00,,,,
支出,2021-02-20 22:21:40,购物消费,玩具,,港币,HKD,19.90,,,綠巨人,
支出,2021-02-20 22:21:23,行车交通,公共交通,,港币,HKD,7.50,,,,
支出,2021-02-20 10:13:28,食品酒水,早餐,,港币,HKD,27.00,,,,
支出,2021-02-20 10:13:17,行车交通,公共交通,,港币,HKD,6.10,,,,
支出,2021-02-19 19:57:37,食品酒水,晚餐,,港币,HKD,217.00,,,,
支出,2021-02-19 17:20:42,行车交通,公共交通,,港币,HKD,15.90,,,,
支出,2021-02-19 14:43:35,食品酒水,中餐,,港币,HKD,15.00,老公,公司食堂,,
